litres,time_stamp
0,12-Jul-2022 00:00:15
0,12-Jul-2022 00:05:15
0,12-Jul-2022 00:10:15
0,12-Jul-2022 00:15:15
0,12-Jul-2022 00:20:15
0,12-Jul-2022 00:25:14
0,12-Jul-2022 00:30:15
0,12-Jul-2022 00:35:15
0,12-Jul-2022 00:40:15
0,12-Jul-2022 00:45:15
0,12-Jul-2022 00:50:15
0,12-Jul-2022 00:55:15
0,12-Jul-2022 01:00:15
0,12-Jul-2022 01:05:15
0,12-Jul-2022 01:10:15
0,12-Jul-2022 01:15:15
0,12-Jul-2022 01:20:15
0,12-Jul-2022 01:25:15
0,12-Jul-2022 01:30:14
0,12-Jul-2022 01:35:15
0,12-Jul-2022 01:40:15
0,12-Jul-2022 01:45:14
0,12-Jul-2022 01:50:15
0,12-Jul-2022 01:55:15
0,12-Jul-2022 02:00:15
0,12-Jul-2022 02:05:15
0,12-Jul-2022 02:10:15
0,12-Jul-2022 02:15:14
0,12-Jul-2022 02:20:15
0,12-Jul-2022 02:25:15
0,12-Jul-2022 02:30:15
0,12-Jul-2022 02:35:15
0,12-Jul-2022 02:40:15
0,12-Jul-2022 02:45:15
0,12-Jul-2022 02:50:15
0,12-Jul-2022 02:55:15
0,12-Jul-2022 03:00:15
0,12-Jul-2022 03:05:15
0,12-Jul-2022 03:10:14
0,12-Jul-2022 03:15:15
0,12-Jul-2022 03:20:14
0,12-Jul-2022 03:25:15
0,12-Jul-2022 03:30:14
0,12-Jul-2022 03:35:14
0,12-Jul-2022 03:40:14
0,12-Jul-2022 03:45:14
0,12-Jul-2022 03:50:14
0,12-Jul-2022 03:55:15
0,12-Jul-2022 04:00:14
0,12-Jul-2022 04:05:14
0,12-Jul-2022 04:10:14
0,12-Jul-2022 04:15:14
0,12-Jul-2022 04:20:14
0,12-Jul-2022 04:25:14
0,12-Jul-2022 04:30:14
0,12-Jul-2022 04:35:14
0,12-Jul-2022 04:40:14
0,12-Jul-2022 04:45:14
0,12-Jul-2022 04:50:14
0,12-Jul-2022 04:55:14
0,12-Jul-2022 05:00:14
0,12-Jul-2022 05:05:14
0,12-Jul-2022 05:10:14
0,12-Jul-2022 05:15:14
0,12-Jul-2022 05:20:14
0,12-Jul-2022 05:25:14
0,12-Jul-2022 05:30:14
0,12-Jul-2022 05:35:14
0,12-Jul-2022 05:40:14
0,12-Jul-2022 05:45:14
0,12-Jul-2022 05:50:14
0,12-Jul-2022 05:55:14
0,12-Jul-2022 06:00:14
0,12-Jul-2022 06:05:14
0,12-Jul-2022 06:10:14
0,12-Jul-2022 06:15:14
0,12-Jul-2022 06:20:14
0,12-Jul-2022 06:25:14
0,12-Jul-2022 06:30:14
0,12-Jul-2022 06:35:14
0,12-Jul-2022 06:40:14
0,12-Jul-2022 06:45:14
0,12-Jul-2022 06:50:14
0,12-Jul-2022 06:55:14
0,12-Jul-2022 07:00:14
0,12-Jul-2022 07:05:14
0,12-Jul-2022 07:10:14
0,12-Jul-2022 07:15:14
0,12-Jul-2022 07:20:14
0,12-Jul-2022 07:25:14
0,12-Jul-2022 07:30:14
0,12-Jul-2022 07:35:14
0,12-Jul-2022 07:40:14
0,12-Jul-2022 07:45:14
0,12-Jul-2022 07:50:14
0,12-Jul-2022 07:55:14
0,12-Jul-2022 08:00:14
0,12-Jul-2022 08:05:14
0,12-Jul-2022 08:10:14
0,12-Jul-2022 08:15:14
0,12-Jul-2022 08:20:14
0,12-Jul-2022 08:25:14
0,12-Jul-2022 08:30:14
0,12-Jul-2022 08:35:14
0,12-Jul-2022 08:40:14
0,12-Jul-2022 08:45:14
0,12-Jul-2022 08:50:14
0,12-Jul-2022 08:55:14
0,12-Jul-2022 09:00:14
0,12-Jul-2022 09:05:14
0,12-Jul-2022 09:10:14
0,12-Jul-2022 09:15:14
0,12-Jul-2022 09:20:14
0,12-Jul-2022 09:25:14
0,12-Jul-2022 09:30:14
0,12-Jul-2022 09:35:14
0,12-Jul-2022 09:40:14
0,12-Jul-2022 09:45:14
0,12-Jul-2022 09:50:14
0,12-Jul-2022 09:55:14
0,12-Jul-2022 10:00:14
