moisture,time_stamp
72.65,14-Jul-2022 08:49:28
72.65,14-Jul-2022 09:09:24
72.24,14-Jul-2022 09:29:20
72.24,14-Jul-2022 09:49:14
72.65,14-Jul-2022 10:09:08
72.24,14-Jul-2022 10:29:03
72.24,14-Jul-2022 10:48:57
72.24,14-Jul-2022 11:08:51
72.24,14-Jul-2022 11:28:47
72.24,14-Jul-2022 11:48:43
72.24,14-Jul-2022 12:08:38
72.24,14-Jul-2022 12:28:34
73.06,14-Jul-2022 12:48:28
76.33,14-Jul-2022 13:08:25
78.78,14-Jul-2022 13:28:20
80.41,14-Jul-2022 13:48:17
81.22,14-Jul-2022 14:08:14
80,14-Jul-2022 14:28:10
78.78,14-Jul-2022 14:48:06
77.96,14-Jul-2022 15:08:01
77.14,14-Jul-2022 15:27:57
76.73,14-Jul-2022 15:47:53
76.33,14-Jul-2022 16:07:48
75.92,14-Jul-2022 16:27:45
75.92,14-Jul-2022 16:47:40
75.92,14-Jul-2022 17:07:36
75.51,14-Jul-2022 17:27:30
75.1,14-Jul-2022 17:47:26
75.92,14-Jul-2022 18:07:21
77.96,14-Jul-2022 18:27:17
77.96,14-Jul-2022 18:47:11
77.55,14-Jul-2022 19:07:06
82.04,14-Jul-2022 19:27:00
84.9,14-Jul-2022 19:46:54
85.71,14-Jul-2022 20:26:42
83.67,14-Jul-2022 20:46:35
81.63,14-Jul-2022 21:06:29
80.41,14-Jul-2022 21:26:25
79.59,14-Jul-2022 21:46:19
78.78,14-Jul-2022 22:06:15
77.55,14-Jul-2022 22:46:04
77.14,14-Jul-2022 23:06:02
76.33,15-Jul-2022 00:05:46
76.33,15-Jul-2022 00:25:41
75.92,15-Jul-2022 00:45:35
75.92,15-Jul-2022 01:05:31
75.51,15-Jul-2022 01:25:25
75.1,15-Jul-2022 01:45:19
75.1,15-Jul-2022 02:05:14
75.1,15-Jul-2022 02:25:08
74.69,15-Jul-2022 02:45:02
74.69,15-Jul-2022 03:04:58
74.69,15-Jul-2022 03:24:54
74.29,15-Jul-2022 03:44:48
74.29,15-Jul-2022 04:04:44
74.29,15-Jul-2022 04:24:41
73.88,15-Jul-2022 04:44:36
73.88,15-Jul-2022 05:04:33
73.88,15-Jul-2022 05:24:28
73.88,15-Jul-2022 05:44:22
73.47,15-Jul-2022 06:04:17
73.88,15-Jul-2022 06:24:12
73.06,15-Jul-2022 07:04:03
73.47,15-Jul-2022 07:23:58
73.47,15-Jul-2022 07:43:53
73.06,15-Jul-2022 08:03:47
