relay,time_stamp
0,12-Jul-2022 15:39:32
0,12-Jul-2022 15:44:31
0,12-Jul-2022 15:49:31
0,12-Jul-2022 15:54:32
0,12-Jul-2022 15:59:32
0,12-Jul-2022 16:04:32
0,12-Jul-2022 16:09:32
0,12-Jul-2022 16:14:32
0,12-Jul-2022 16:19:31
0,12-Jul-2022 16:29:31
0,12-Jul-2022 16:34:31
0,12-Jul-2022 16:39:31
0,12-Jul-2022 16:44:31
0,12-Jul-2022 16:49:31
0,12-Jul-2022 16:54:31
0,12-Jul-2022 16:59:31
0,12-Jul-2022 17:04:31
0,12-Jul-2022 17:09:31
0,12-Jul-2022 17:14:31
0,12-Jul-2022 17:19:31
0,12-Jul-2022 17:24:31
0,12-Jul-2022 17:29:31
0,12-Jul-2022 17:34:31
0,12-Jul-2022 17:39:31
0,12-Jul-2022 17:44:31
0,12-Jul-2022 17:49:31
0,12-Jul-2022 17:54:31
0,12-Jul-2022 17:59:31
0,12-Jul-2022 18:04:31
0,12-Jul-2022 18:09:31
0,12-Jul-2022 18:14:31
0,12-Jul-2022 18:19:31
0,12-Jul-2022 18:24:31
0,12-Jul-2022 18:29:31
0,12-Jul-2022 18:34:31
0,12-Jul-2022 18:39:31
0,12-Jul-2022 18:44:31
0,12-Jul-2022 18:49:31
0,12-Jul-2022 18:54:31
0,12-Jul-2022 18:59:31
0,12-Jul-2022 19:04:31
0,12-Jul-2022 19:09:31
0,12-Jul-2022 19:14:31
0,12-Jul-2022 19:19:31
0,12-Jul-2022 19:24:31
0,12-Jul-2022 19:29:31
0,12-Jul-2022 19:34:31
0,12-Jul-2022 19:39:31
0,12-Jul-2022 19:44:31
0,12-Jul-2022 19:49:31
0,12-Jul-2022 19:54:31
0,12-Jul-2022 19:59:31
0,12-Jul-2022 20:04:31
0,12-Jul-2022 20:09:31
0,12-Jul-2022 20:14:31
0,12-Jul-2022 20:19:31
0,12-Jul-2022 20:24:31
0,12-Jul-2022 20:29:31
0,12-Jul-2022 20:34:31
0,12-Jul-2022 20:39:31
0,12-Jul-2022 20:44:31
0,12-Jul-2022 20:49:31
0,12-Jul-2022 20:54:31
0,12-Jul-2022 20:59:31
0,12-Jul-2022 21:04:31
0,12-Jul-2022 21:09:31
0,12-Jul-2022 21:14:31
0,12-Jul-2022 21:19:31
0,12-Jul-2022 21:24:31
1,12-Jul-2022 21:29:31
1,12-Jul-2022 21:34:31
1,12-Jul-2022 21:39:31
