Timestamp,Soil Moisture (%),Temperature (C),Humidity (%),VPD (kPa),Wind Speed (km/h),Decision,Confidence (%),Reason,Duration (s)
2026-05-26 02:39:55,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:40:02,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:40:09,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:40:15,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:40:22,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:40:29,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:40:34,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:40:42,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:40:49,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:40:56,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:41:01,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:41:09,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
